DATE,DTWEXB
2007-06-04,103.8390
2007-06-05,103.8315
2007-06-06,103.9663
2007-06-07,104.1978
2007-06-08,104.6244
2007-06-11,104.5224
2007-06-12,104.5478
2007-06-13,104.7492
2007-06-14,104.7533
2007-06-15,104.4579
2007-06-18,104.3701
2007-06-19,104.1519
2007-06-20,104.1926
2007-06-21,104.4366
2007-06-22,104.2807
2007-06-25,104.3441
2007-06-26,104.3026
2007-06-27,104.3879
2007-06-28,104.0714
2007-06-29,103.9619
2007-07-02,103.4473
2007-07-03,103.4945
2007-07-04,.
2007-07-05,103.5633
2007-07-06,103.3878
2007-07-09,103.3750
2007-07-10,103.1186
2007-07-11,103.0646
2007-07-12,102.8927
2007-07-13,102.7717
2007-07-16,102.6659
2007-07-17,102.6790
2007-07-18,102.5668
2007-07-19,102.4895
2007-07-20,102.4727
2007-07-23,102.3963
2007-07-24,102.2508
2007-07-25,102.6662
2007-07-26,102.8588
2007-07-27,103.2736
2007-07-30,103.2995
2007-07-31,103.1525
2007-08-01,103.1409
2007-08-02,103.0516
2007-08-03,102.8475
2007-08-06,102.8454
2007-08-07,103.0551
2007-08-08,102.8655
2007-08-09,103.1935
2007-08-10,103.2962
2007-08-13,103.3803
2007-08-14,103.8051
2007-08-15,104.2629
2007-08-16,104.7048
2007-08-17,104.0948
2007-08-20,103.9813
2007-08-21,104.0478
2007-08-22,103.8722
2007-08-23,103.7676
2007-08-24,103.4737
2007-08-27,103.3851
2007-08-28,103.5869
2007-08-29,103.4778
2007-08-30,103.4859
2007-08-31,103.4232
2007-09-03,.
2007-09-04,103.4129
2007-09-05,103.3111
2007-09-06,103.1910
2007-09-07,103.0264
2007-09-10,102.9564
2007-09-11,102.6477
2007-09-12,102.3519
2007-09-13,102.3260
2007-09-14,102.4094
2007-09-17,102.5193
2007-09-18,102.3744
2007-09-19,101.8572
2007-09-20,101.0972
2007-09-21,101.1812
2007-09-24,101.0915
2007-09-25,101.0334
2007-09-26,101.1267
2007-09-27,101.0404
2007-09-28,100.6152
2007-10-01,100.5722
2007-10-02,100.8017
2007-10-03,100.7880
2007-10-04,100.8590
2007-10-05,100.4401
2007-10-08,.
2007-10-09,100.5566
2007-10-10,100.4087
2007-10-11,100.1776
2007-10-12,100.2895
2007-10-15,100.2414
2007-10-16,100.4081
2007-10-17,100.2180
2007-10-18,100.0015
2007-10-19,99.7966
2007-10-22,100.3441
2007-10-23,99.8806
2007-10-24,99.8997
2007-10-25,99.6453
2007-10-26,99.3112
2007-10-29,99.0685
2007-10-30,98.9770
2007-10-31,98.7974
2007-11-01,98.8268
2007-11-02,98.5746
2007-11-05,98.5672
2007-11-06,98.1734
2007-11-07,97.7382
2007-11-08,97.9046
2007-11-09,98.0701
2007-11-12,.
2007-11-13,98.6841
2007-11-14,98.5432
2007-11-15,99.0015
2007-11-16,98.8896
2007-11-19,99.0826
2007-11-20,98.8196
2007-11-21,98.8870
2007-11-22,.
2007-11-23,98.7617
2007-11-26,98.6674
2007-11-27,98.9272
2007-11-28,98.9587
2007-11-29,98.8808
2007-11-30,99.1178
2007-12-03,99.1596
2007-12-04,99.1626
2007-12-05,99.3417
2007-12-06,99.4092
2007-12-07,99.2235
2007-12-10,99.1521
2007-12-11,99.1800
2007-12-12,99.2094
2007-12-13,99.5962
2007-12-14,99.9186
2007-12-17,100.0558
2007-12-18,100.0680
2007-12-19,100.1222
2007-12-20,99.9727
2007-12-21,99.8735
2007-12-24,99.6755
2007-12-25,.
2007-12-26,99.4143
2007-12-27,99.1484
2007-12-28,98.8527
2007-12-31,99.0316
2008-01-01,.
2008-01-02,98.7295
2008-01-03,98.5815
2008-01-04,98.5731
2008-01-07,98.9014
2008-01-08,98.6673
2008-01-09,98.9812
2008-01-10,98.9186
2008-01-11,98.7980
2008-01-14,98.5277
2008-01-15,98.3962
2008-01-16,98.9233
2008-01-17,98.8969
2008-01-18,99.1632
2008-01-21,.
2008-01-22,99.1208
2008-01-23,99.1837
2008-01-24,98.4840
2008-01-25,98.4955
2008-01-28,98.2186
2008-01-29,98.1001
2008-01-30,98.0176
2008-01-31,97.8978
2008-02-01,97.7123
2008-02-04,97.7200
2008-02-05,98.3013
2008-02-06,98.2169
2008-02-07,98.6299
2008-02-08,98.4511
2008-02-11,98.4504
2008-02-12,98.1961
2008-02-13,98.3939
2008-02-14,98.1570
2008-02-15,98.1211
2008-02-18,.
2008-02-19,98.1278
2008-02-20,98.4152
2008-02-21,97.8826
2008-02-22,97.8589
2008-02-25,97.7257
2008-02-26,97.2862
2008-02-27,96.4885
2008-02-28,96.1556
2008-02-29,96.2879
2008-03-03,96.3527
2008-03-04,96.3974
2008-03-05,96.2464
2008-03-06,96.0250
2008-03-07,96.2393
2008-03-10,96.2624
2008-03-11,96.2855
2008-03-12,95.8482
2008-03-13,95.5050
2008-03-14,95.5506
2008-03-17,95.4249
2008-03-18,95.1984
2008-03-19,95.6353
2008-03-20,96.3626
2008-03-21,96.2406
2008-03-24,96.3569
2008-03-25,95.8591
2008-03-26,95.5614
2008-03-27,95.4597
2008-03-28,95.6269
2008-03-31,95.6604
2008-04-01,95.9998
2008-04-02,95.8936
2008-04-03,95.6640
2008-04-04,95.5191
2008-04-07,95.5940
2008-04-08,95.7172
2008-04-09,95.5479
2008-04-10,95.4552
2008-04-11,95.4559
2008-04-14,95.3081
2008-04-15,95.4375
2008-04-16,94.8787
2008-04-17,95.0841
2008-04-18,95.5670
2008-04-21,95.3048
2008-04-22,94.9257
2008-04-23,95.3518
2008-04-24,95.7109
2008-04-25,95.8521
2008-04-28,95.7835
2008-04-29,95.8709
2008-04-30,95.9158
2008-05-01,96.1340
2008-05-02,96.2487
2008-05-05,96.0736
2008-05-06,95.8716
2008-05-07,96.3887
2008-05-08,96.5048
2008-05-09,96.2933
2008-05-12,96.0958
2008-05-13,96.1982
2008-05-14,96.4563
2008-05-15,96.2622
2008-05-16,95.8394
2008-05-19,95.8702
2008-05-20,95.6257
2008-05-21,95.1970
2008-05-22,95.3609
2008-05-23,95.2282
2008-05-26,.
2008-05-27,95.4921
2008-05-28,95.5422
2008-05-29,95.6148
2008-05-30,95.5914
2008-06-02,95.6358
2008-06-03,95.8447
2008-06-04,96.1250
2008-06-05,96.1107
2008-06-06,95.8181
2008-06-09,95.9282
2008-06-10,96.4849
2008-06-11,96.2134
2008-06-12,96.6283
2008-06-13,96.7756
2008-06-16,96.4031
2008-06-17,96.1903
2008-06-18,96.1717
2008-06-19,96.0760
2008-06-20,95.8947
2008-06-23,96.2106
2008-06-24,95.9616
2008-06-25,96.0528
2008-06-26,95.6842
2008-06-27,95.6435
2008-06-30,95.7539
2008-07-01,95.8366
2008-07-02,95.4565
2008-07-03,95.8580
2008-07-04,.
2008-07-07,95.9434
2008-07-08,95.9312
2008-07-09,95.4828
2008-07-10,95.4396
2008-07-11,95.1426
2008-07-14,95.0391
2008-07-15,94.7767
2008-07-16,94.8214
2008-07-17,94.8559
2008-07-18,94.9950
2008-07-21,94.9590
2008-07-22,95.1203
2008-07-23,95.2120
2008-07-24,95.3300
2008-07-25,95.3163
2008-07-28,95.3911
2008-07-29,95.7320
2008-07-30,95.7459
2008-07-31,95.7911
2008-08-01,95.7625
2008-08-04,95.9926
2008-08-05,96.2582
2008-08-06,96.5347
2008-08-07,96.8183
2008-08-08,97.8514
2008-08-11,97.9953
2008-08-12,98.1465
2008-08-13,98.2351
2008-08-14,98.3015
2008-08-15,98.6802
2008-08-18,98.5490
2008-08-19,98.6046
2008-08-20,98.6356
2008-08-21,97.8516
2008-08-22,98.1776
2008-08-25,98.2806
2008-08-26,98.6263
2008-08-27,98.5750
2008-08-28,98.7743
2008-08-29,98.9757
2008-09-01,.
2008-09-02,99.7766
2008-09-03,99.8114
2008-09-04,100.1293
2008-09-05,100.2943
2008-09-08,100.5659
2008-09-09,100.5065
2008-09-10,101.0461
2008-09-11,101.4269
2008-09-12,100.3872
2008-09-15,100.7250
2008-09-16,101.0329
2008-09-17,101.0384
2008-09-18,100.7204
2008-09-19,100.0438
2008-09-22,99.1404
2008-09-23,99.1449
2008-09-24,99.5067
2008-09-25,99.5003
2008-09-26,99.7613
2008-09-29,100.4708
2008-09-30,101.3811
2008-10-01,101.5656
2008-10-02,102.4159
2008-10-03,102.5942
2008-10-06,104.1781
2008-10-07,104.5412
2008-10-08,106.0170
2008-10-09,105.5149
2008-10-10,106.9141
2008-10-13,.
2008-10-14,105.1591
2008-10-15,106.1084
2008-10-16,107.3407
2008-10-17,106.6917
2008-10-20,107.0706
2008-10-21,108.2881
2008-10-22,110.0507
2008-10-23,109.9198
2008-10-24,110.5749
2008-10-27,111.0844
2008-10-28,111.2097
2008-10-29,109.0336
2008-10-30,108.2284
2008-10-31,108.5861
2008-11-03,108.2485
2008-11-04,106.9072
2008-11-05,106.9652
2008-11-06,108.3895
2008-11-07,108.2282
2008-11-10,108.3918
2008-11-11,.
2008-11-12,109.9308
2008-11-13,110.5349
2008-11-14,109.7466
2008-11-17,109.9153
2008-11-18,110.2380
2008-11-19,110.7324
2008-11-20,112.0395
2008-11-21,112.4213
2008-11-24,110.4404
2008-11-25,109.7305
2008-11-26,110.1348
2008-11-27,.
2008-11-28,110.5379
2008-12-01,111.0540
2008-12-02,110.8716
2008-12-03,111.2648
2008-12-04,110.9404
2008-12-05,112.2875
2008-12-08,110.5559
2008-12-09,110.5170
2008-12-10,110.0462
2008-12-11,108.2682
2008-12-12,109.0461
2008-12-15,107.8725
2008-12-16,107.2580
2008-12-17,105.5881
2008-12-18,105.5726
2008-12-19,106.8012
2008-12-22,106.8901
2008-12-23,107.0220
2008-12-24,106.9573
2008-12-25,.
2008-12-26,106.9890
2008-12-29,106.6397
2008-12-30,107.0302
2008-12-31,107.3594
2009-01-01,.
2009-01-02,107.3386
2009-01-05,107.6878
2009-01-06,107.6092
2009-01-07,106.9126
2009-01-08,107.1651
2009-01-09,107.7146
2009-01-12,108.3794
2009-01-13,109.0878
2009-01-14,109.4909
2009-01-15,110.2066
2009-01-16,109.4582
2009-01-19,.
2009-01-20,110.4627
2009-01-21,110.6862
2009-01-22,110.4589
2009-01-23,110.7426
2009-01-26,109.7052
2009-01-27,109.9228
2009-01-28,109.3247
2009-01-29,110.1135
2009-01-30,110.9023
2009-02-02,111.3026
2009-02-03,110.6838
2009-02-04,110.7198
2009-02-05,110.7893
2009-02-06,110.5802
2009-02-09,109.8537
2009-02-10,110.5361
2009-02-11,111.0357
2009-02-12,111.3800
2009-02-13,111.1080
2009-02-16,.
2009-02-17,112.5959
2009-02-18,112.9011
2009-02-19,112.6668
2009-02-20,112.9915
2009-02-23,112.7207
2009-02-24,112.9826
2009-02-25,113.2873
2009-02-26,113.1975
2009-02-27,113.9250
2009-03-02,114.9457
2009-03-03,114.9935
2009-03-04,114.4655
2009-03-05,114.8026
2009-03-06,114.3764
2009-03-09,114.9395
2009-03-10,114.0207
2009-03-11,113.7169
2009-03-12,113.7523
2009-03-13,112.9962
2009-03-16,112.0530
2009-03-17,112.0616
2009-03-18,111.8430
2009-03-19,109.2984
2009-03-20,109.9622
2009-03-23,110.0181
2009-03-24,109.9562
2009-03-25,109.8766
2009-03-26,109.9697
2009-03-27,110.6661
2009-03-30,111.5724
2009-03-31,111.2284
2009-04-01,110.9706
2009-04-02,109.7234
2009-04-03,109.5203
2009-04-06,109.7701
2009-04-07,109.8447
2009-04-08,109.7740
2009-04-09,109.6371
2009-04-10,109.6071
2009-04-13,109.0246
2009-04-14,108.7714
2009-04-15,109.0389
2009-04-16,108.9129
2009-04-17,109.3843
2009-04-20,110.2285
2009-04-21,109.9871
2009-04-22,109.9061
2009-04-23,109.8145
2009-04-24,108.8416
2009-04-27,109.5463
2009-04-28,110.1316
2009-04-29,108.8466
2009-04-30,108.8946
2009-05-01,108.8268
2009-05-04,107.9573
2009-05-05,107.6589
2009-05-06,107.7178
2009-05-07,107.3494
2009-05-08,106.9449
2009-05-11,106.5519
2009-05-12,106.6217
2009-05-13,106.8147
2009-05-14,106.9376
2009-05-15,106.8907
2009-05-18,106.7623
2009-05-19,106.1106
2009-05-20,105.4316
2009-05-21,105.4795
2009-05-22,104.7720
2009-05-25,.
2009-05-26,104.9358
2009-05-27,104.9299
2009-05-28,105.0980
2009-05-29,104.2603
2009-06-01,103.8201
2009-06-02,103.6932
2009-06-03,104.0755
2009-06-04,104.2923
2009-06-05,105.0122
2009-06-08,105.6368
2009-06-09,104.9878
2009-06-10,105.1498
2009-06-11,104.5581
2009-06-12,104.8611
2009-06-15,105.7440
2009-06-16,105.2513
2009-06-17,105.6240
2009-06-18,105.1469
2009-06-19,105.0497
2009-06-22,105.8568
2009-06-23,105.5102
2009-06-24,105.2177
2009-06-25,105.6723
2009-06-26,105.1705
2009-06-29,105.2224
2009-06-30,105.3308
2009-07-01,104.6404
2009-07-02,105.2766
2009-07-03,.
2009-07-06,105.5519
2009-07-07,105.5656
2009-07-08,105.9152
2009-07-09,105.5701
2009-07-10,106.0363
2009-07-13,105.9968
2009-07-14,105.6640
2009-07-15,104.8185
2009-07-16,104.7307
2009-07-17,104.5940
2009-07-20,104.0858
2009-07-21,104.0308
