Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,57.869999,58.299999,56.759998,56.939999,56.939999,1788100
2012-10-02,57.349998,57.770000,56.169998,56.669998,56.669998,2357600
2012-10-03,56.990002,58.490002,56.990002,58.349998,58.349998,2506400
2012-10-04,58.619999,59.419998,58.090000,58.520000,58.520000,2108600
2012-10-05,59.470001,59.900002,57.450001,57.599998,57.599998,1731100
2012-10-08,57.799999,58.060001,56.349998,56.799999,56.799999,1880600
2012-10-09,56.630001,56.770000,55.020000,55.480000,55.480000,2825600
2012-10-10,55.470001,56.139999,55.119999,55.279999,55.279999,3508700
2012-10-11,55.750000,55.750000,53.330002,54.250000,54.250000,4186500
2012-10-12,53.580002,54.540001,53.310001,54.250000,54.250000,1801100
2012-10-15,54.490002,54.570000,53.669998,54.490002,54.490002,1518700
2012-10-16,54.610001,55.020000,54.099998,54.660000,54.660000,1655800
2012-10-17,54.540001,55.230000,54.090000,54.330002,54.330002,1747300
2012-10-18,54.200001,55.720001,53.610001,54.279999,54.279999,3845100
2012-10-19,54.150002,54.150002,51.410000,52.099998,52.099998,4278300
2012-10-22,52.230000,53.410000,51.880001,52.360001,52.360001,2440100
2012-10-23,52.049999,54.220001,51.619999,53.689999,53.689999,2945800
2012-10-24,54.430000,54.430000,52.250000,52.270000,52.270000,2764200
2012-10-25,52.799999,53.009998,50.709999,51.250000,51.250000,6638000
2012-10-26,58.950001,60.000000,56.020000,59.060001,59.060001,13240700
2012-10-31,58.310001,60.040001,57.880001,59.150002,59.150002,3290600
2012-11-01,59.110001,59.889999,58.959999,59.680000,59.680000,2002700
2012-11-02,60.759998,61.380001,59.060001,59.070000,59.070000,2890700
2012-11-05,58.820000,59.910000,58.299999,59.869999,59.869999,1688000
2012-11-06,59.799999,60.990002,59.799999,60.560001,60.560001,1994900
2012-11-07,59.840000,60.000000,58.139999,58.900002,58.900002,2641100
2012-11-08,59.150002,59.410000,57.750000,58.189999,58.189999,2003300
2012-11-09,56.160000,58.610001,56.000000,57.740002,57.740002,2760900
2012-11-12,57.910000,58.580002,57.220001,57.590000,57.590000,1431400
2012-11-13,57.389999,57.939999,57.049999,57.189999,57.189999,1594400
2012-11-14,57.490002,57.750000,55.290001,55.470001,55.470001,1886100
2012-11-15,55.630001,55.950001,54.959999,55.880001,55.880001,1724000
2012-11-16,55.779999,58.320000,55.619999,58.230000,58.230000,2480000
2012-11-19,59.040001,59.290001,58.029999,58.299999,58.299999,1525400
2012-11-20,59.070000,60.160000,58.349998,59.290001,59.290001,1843100
2012-11-21,59.270000,60.450001,58.689999,60.020000,60.020000,1870600
2012-11-23,60.160000,60.650002,59.509998,60.590000,60.590000,840800
2012-11-26,60.340000,61.480000,60.110001,60.939999,60.939999,2227700
2012-11-27,60.980000,61.580002,60.099998,60.830002,60.830002,1760200
2012-11-28,60.860001,61.770000,60.000000,61.730000,61.730000,1421100
2012-11-29,61.840000,62.799999,61.029999,61.590000,61.590000,1335600
2012-11-30,61.509998,62.209999,61.000000,61.860001,61.860001,2455600
2012-12-03,61.930000,61.950001,60.650002,60.779999,60.779999,1799600
2012-12-04,60.509998,60.599998,59.520000,59.919998,59.919998,2096500
2012-12-05,60.119999,60.619999,59.349998,60.090000,60.090000,1776900
2012-12-06,59.939999,60.259998,59.320000,59.680000,59.680000,1618400
2012-12-07,59.889999,60.820000,59.750000,59.880001,59.880001,2640200
2012-12-10,59.810001,60.110001,57.340000,57.709999,57.709999,2827200
2012-12-11,59.389999,60.349998,58.830002,60.000000,60.000000,4475700
2012-12-12,59.650002,60.709999,58.990002,60.570000,60.570000,3399600
2012-12-13,60.110001,60.470001,58.400002,59.340000,59.340000,2801100
2012-12-14,59.230000,59.380001,58.549999,58.990002,58.990002,1749900
2012-12-17,59.290001,60.720001,59.000000,60.660000,60.660000,2508100
2012-12-18,60.540001,61.970001,60.000000,61.439999,61.439999,2668400
2012-12-19,61.700001,61.910000,60.730000,60.779999,60.779999,1645000
2012-12-20,60.889999,61.200001,59.959999,60.910000,60.910000,1359700
2012-12-21,60.049999,60.599998,59.209999,59.590000,59.590000,2467000
2012-12-24,59.160000,59.900002,59.130001,59.590000,59.590000,458300
2012-12-26,59.750000,59.799999,57.840000,57.930000,57.930000,887500
2012-12-27,57.980000,60.730000,57.980000,60.299999,60.299999,2772400
2012-12-28,59.709999,60.299999,59.330002,59.360001,59.360001,1181300
2012-12-31,59.270000,61.709999,58.900002,61.439999,61.439999,2041200
2013-01-02,62.610001,63.250000,62.150002,63.250000,63.250000,2146100
2013-01-03,63.110001,64.510002,62.689999,62.830002,62.830002,2427700
2013-01-04,62.830002,64.690002,62.610001,64.459999,64.459999,1896400
2013-01-07,63.900002,64.660004,63.549999,64.410004,64.410004,1898700
2013-01-08,64.430000,64.769997,63.900002,64.750000,64.750000,1882500
2013-01-09,64.790001,64.809998,63.540001,63.689999,63.689999,2060000
2013-01-10,64.370003,64.489998,62.250000,62.770000,62.770000,1723400
2013-01-11,62.709999,62.980000,62.250000,62.610001,62.610001,1800700
2013-01-14,62.610001,63.349998,62.000000,62.880001,62.880001,1227700
2013-01-15,62.580002,64.080002,62.150002,63.520000,63.520000,1381200
2013-01-16,64.199997,64.199997,62.580002,62.689999,62.689999,1148300
2013-01-17,62.840000,63.330002,62.180000,62.860001,62.860001,1054700
2013-01-18,63.119999,63.119999,61.990002,62.240002,62.240002,2375400
2013-01-22,62.500000,62.810001,61.220001,61.990002,61.990002,1198000
2013-01-23,62.160000,62.740002,61.730000,62.610001,62.610001,960700
2013-01-24,63.389999,64.250000,62.900002,63.380001,63.380001,1346100
2013-01-25,63.410000,66.860001,63.410000,66.489998,66.489998,2728000
2013-01-28,66.589996,66.839996,65.910004,66.660004,66.660004,1688600
2013-01-29,66.680000,66.769997,65.339996,66.570000,66.570000,1595300
2013-01-30,66.699997,66.839996,65.440002,65.660004,65.660004,1385600
2013-01-31,65.320000,65.500000,64.400002,65.250000,65.250000,2170000
2013-02-01,65.949997,68.089996,65.440002,67.269997,67.269997,3878700
2013-02-04,66.489998,66.489998,64.820000,65.160004,65.160004,4664200
2013-02-05,65.419998,68.089996,65.300003,67.500000,67.500000,5181100
2013-02-06,66.410004,67.940002,65.010002,65.699997,65.699997,8686100
2013-02-07,65.680000,66.180000,63.110001,65.400002,65.400002,3856200
2013-02-08,65.500000,66.349998,65.160004,65.650002,65.650002,1791200
2013-02-11,65.239998,65.489998,64.370003,64.800003,64.800003,2153200
2013-02-12,64.910004,65.919998,64.790001,65.550003,65.550003,2169500
2013-02-13,65.699997,65.830002,64.849998,65.470001,65.470001,1871800
2013-02-14,64.980003,65.430000,64.510002,65.169998,65.169998,2404200
2013-02-15,65.250000,65.790001,64.230003,64.580002,64.580002,2602200
2013-02-19,64.900002,65.129997,64.059998,64.419998,64.419998,1906700
2013-02-20,64.519997,64.949997,62.820000,63.110001,63.110001,1828100
2013-02-21,63.270000,63.900002,62.689999,63.759998,63.759998,2904100
2013-02-22,63.860001,64.639999,63.790001,64.489998,64.489998,2044900
2013-02-25,64.660004,64.919998,62.029999,62.139999,62.139999,2079000
2013-02-26,62.279999,63.119999,61.490002,62.820000,62.820000,2227100
2013-02-27,63.410000,64.919998,62.110001,64.180000,64.180000,2052100
2013-02-28,63.930000,64.540001,63.189999,63.900002,63.900002,2806500
2013-03-01,63.500000,64.150002,62.860001,63.740002,63.740002,1788800
2013-03-04,63.200001,64.510002,63.119999,64.419998,64.419998,2172500
2013-03-05,64.989998,66.220001,64.820000,65.910004,65.910004,3362900
2013-03-06,65.889999,66.099998,64.589996,64.949997,64.949997,1731100
2013-03-07,64.800003,65.410004,64.199997,64.320000,64.320000,1279400
