"date","hour","obs","click_bool","booking_bool","gross_bookings_usd"
"2012-11-01","00",593,25,15,5503.8
"2012-11-01","01",339,17,10,1692.13
"2012-11-01","02",366,22,11,3191.16
"2012-11-01","03",425,17,11,4045.89
"2012-11-01","04",471,18,15,4414.87
"2012-11-01","05",510,24,14,6279.37
"2012-11-01","06",1164,47,33,9369.43
"2012-11-01","07",1330,59,41,12122.98
"2012-11-01","08",1625,69,54,19556.01
"2012-11-01","09",2255,92,67,22613.93
"2012-11-01","10",2321,107,63,27372.58
"2012-11-01","11",1791,83,57,23696.27
"2012-11-01","12",2055,84,57,17434.84
"2012-11-01","13",2226,104,63,24898.42
"2012-11-01","14",2161,99,60,27066.78
"2012-11-01","15",1796,82,47,12102.4
"2012-11-01","16",2185,97,70,20259.9
"2012-11-01","17",2491,118,76,28807.79
"2012-11-01","18",2202,113,65,20697.06
"2012-11-01","19",1968,99,55,22537.92
"2012-11-01","20",1904,87,51,14997.13
"2012-11-01","21",1527,73,42,12210.94
"2012-11-01","22",1204,58,30,11329
"2012-11-01","23",1077,48,29,8731.85
"2012-11-02","00",487,20,13,3960.86
"2012-11-02","01",331,18,6,1493.68
"2012-11-02","02",248,11,7,2485.88
"2012-11-02","03",485,19,12,3413.92
"2012-11-02","04",335,13,9,3456.75
"2012-11-02","05",568,23,16,6286.32
"2012-11-02","06",1095,49,35,9979.78
"2012-11-02","07",1476,66,47,16440.17
"2012-11-02","08",1766,77,57,22891.42
"2012-11-02","09",2219,104,62,20747.58
"2012-11-02","10",1943,88,59,14849.2
"2012-11-02","11",2139,110,63,19896.39
"2012-11-02","12",2224,110,77,23685.2
"2012-11-02","13",2897,117,81,43602.55
"2012-11-02","14",2362,92,59,19092.68
"2012-11-02","15",2211,101,76,25040.96
"2012-11-02","16",1313,57,42,15907.51
"2012-11-02","17",2246,95,56,18810.62
"2012-11-02","18",1686,77,54,20610.01
"2012-11-02","19",1365,74,45,14923.15
"2012-11-02","20",1118,43,30,8988.2
"2012-11-02","21",1176,51,28,8811.31
"2012-11-02","22",1451,65,36,14269.59
"2012-11-02","23",569,25,8,2226.73
"2012-11-03","00",664,29,18,5931.73
"2012-11-03","01",284,12,7,3069.24
"2012-11-03","02",238,13,7,3456.25
"2012-11-03","03",201,9,6,2292.52
"2012-11-03","04",279,9,6,1179.01
"2012-11-03","05",444,19,14,4131.6
"2012-11-03","06",592,36,20,3934.3
"2012-11-03","07",624,30,19,6825.54
"2012-11-03","08",1126,54,33,12033.33
"2012-11-03","09",1612,73,46,17544.57
"2012-11-03","10",1317,63,38,15287.99
"2012-11-03","11",1286,53,37,12544.19
"2012-11-03","12",1380,73,44,15818.64
"2012-11-03","13",1302,66,38,11951.76
"2012-11-03","14",1212,63,37,12637.42
"2012-11-03","15",1311,58,35,11375.29
"2012-11-03","16",1637,61,40,11818.48
"2012-11-03","17",1553,64,46,20623.12
"2012-11-03","18",1340,65,33,7882.27
"2012-11-03","19",936,41,28,10484.01
"2012-11-03","20",1184,52,32,13573.56
"2012-11-03","21",1034,47,25,9817.11
"2012-11-03","22",927,43,25,7028.21
"2012-11-03","23",736,35,15,6831.11
"2012-11-04","00",460,23,11,6464.23
"2012-11-04","01",352,16,12,2439.95
"2012-11-04","02",237,11,7,1377.53
"2012-11-04","03",380,15,7,2555.54
"2012-11-04","04",442,18,9,3873.48
"2012-11-04","05",507,22,18,7286.47
"2012-11-04","06",965,39,24,7037.33
"2012-11-04","07",1024,44,33,13391.08
"2012-11-04","08",1291,52,35,14601.59
"2012-11-04","09",1226,58,34,18493.39
"2012-11-04","10",1590,78,49,11336.54
"2012-11-04","11",1485,68,39,15035.26
"2012-11-04","12",1886,75,45,21353.65
"2012-11-04","13",1939,94,60,22549.33
"2012-11-04","14",1935,77,53,19191.96
"2012-11-04","15",2277,102,66,30674.28
"2012-11-04","16",1924,86,46,19005.36
"2012-11-04","17",2557,105,69,27857.07
"2012-11-04","18",2570,115,68,28268.32
"2012-11-04","19",2298,102,68,30133.63
"2012-11-04","20",1764,84,45,20635.57
"2012-11-04","21",1181,59,39,13428.2
"2012-11-04","22",1292,58,38,15791.74
"2012-11-04","23",855,41,20,13904.13
"2012-11-05","00",453,24,12,4148.13
"2012-11-05","01",244,9,7,3054.2
"2012-11-05","02",134,6,4,1279.04
"2012-11-05","03",282,13,9,2178.48
"2012-11-05","04",250,14,8,3241.32
"2012-11-05","05",597,33,17,6653.87
"2012-11-05","06",890,41,31,9711.84
"2012-11-05","07",1715,69,38,14291.15
"2012-11-05","08",1769,83,49,17099.4
"2012-11-05","09",2044,85,63,33771.37
"2012-11-05","10",2444,109,73,36113.05
"2012-11-05","11",2520,121,74,22594.25
"2012-11-05","12",2674,117,74,32463.41
"2012-11-05","13",2218,104,65,18011.56
"2012-11-05","14",2650,133,73,23000.2
"2012-11-05","15",2104,102,61,20367.38
"2012-11-05","16",2021,90,72,31295.03
"2012-11-05","17",2688,117,68,26317.11
"2012-11-05","18",2408,112,61,20841.03
"2012-11-05","19",2533,106,63,24468.11
"2012-11-05","20",2079,83,52,22920.21
"2012-11-05","21",1575,68,49,18910.72
"2012-11-05","22",980,48,31,14708.84
"2012-11-05","23",661,30,19,7891.8
"2012-11-06","00",509,22,14,7885.06
"2012-11-06","01",321,16,9,3545.89
"2012-11-06","02",172,13,4,1098.55
"2012-11-06","03",237,11,8,5718.74
"2012-11-06","04",387,18,11,5039.06
"2012-11-06","05",505,21,15,3430.66
"2012-11-06","06",903,38,30,9033.56
"2012-11-06","07",1427,63,46,14695.37
"2012-11-06","08",1998,79,48,14465.98
"2012-11-06","09",2121,82,62,21926.71
"2012-11-06","10",1682,77,42,14657.17
"2012-11-06","11",2919,119,82,32030.67
"2012-11-06","12",2766,110,81,31269.38
"2012-11-06","13",2620,110,65,23083.39
"2012-11-06","14",2210,97,63,19009.19
"2012-11-06","15",2077,91,60,18416.75
"2012-11-06","16",2421,110,65,28162.45
"2012-11-06","17",2107,93,61,18111.25
"2012-11-06","18",1750,78,46,18103.73
"2012-11-06","19",2070,102,53,17404.27
"2012-11-06","20",1843,83,52,18759.32
"2012-11-06","21",1744,71,39,16102.26
"2012-11-06","22",1159,51,33,12589.09
"2012-11-06","23",957,48,28,12092.18
"2012-11-07","00",709,30,17,7943.19
"2012-11-07","01",247,12,7,1282.24
"2012-11-07","02",276,12,9,2293.04
"2012-11-07","03",256,11,8,1982.61
"2012-11-07","04",476,20,13,3610.26
"2012-11-07","05",414,17,11,6379.17
"2012-11-07","06",905,39,28,7616.47
"2012-11-07","07",1246,58,38,10921.21
"2012-11-07","08",2134,96,70,24078.77
"2012-11-07","09",1970,88,62,22263.27
"2012-11-07","10",2231,104,69,22480.93
"2012-11-07","11",2817,123,81,30618.82
"2012-11-07","12",2384,104,72,22547.81
"2012-11-07","13",2237,98,66,37082.55
"2012-11-07","14",2218,91,66,21453.83
"2012-11-07","15",2203,94,66,21784.79
"2012-11-07","16",2169,94,56,23875.52
"2012-11-07","17",2566,109,71,23301.55
"2012-11-07","18",2458,111,75,28112.07
"2012-11-07","19",2375,104,61,21528.82
"2012-11-07","20",1634,70,43,17453.65
"2012-11-07","21",1895,88,50,15566.36
"2012-11-07","22",1462,63,38,11602.93
"2012-11-07","23",1164,61,29,10535.88
