"date","obs","click_bool","booking_bool","gross_bookings_usd"
"2012-11-01",35986,1642,1036,360932.45
"2012-11-02",33710,1505,978,341870.46
"2012-11-03",23219,1068,649,228071.25
"2012-11-04",32437,1442,895,366685.63
"2012-11-05",37933,1717,1073,415331.5
"2012-11-06",36905,1603,1017,366630.68
"2012-11-07",38446,1697,1106,396315.74
"2012-11-08",38365,1731,1062,364416.03
"2012-11-09",33241,1513,973,366305.05
"2012-11-10",25903,1161,716,258139.71
"2012-11-11",30843,1385,857,311502.11
"2012-11-12",39426,1826,1129,423982.67
"2012-11-13",38104,1751,1086,387939.87
"2012-11-14",36390,1654,1041,328198.95
"2012-11-15",36526,1627,1062,362288.73
"2012-11-16",31604,1447,928,308612
"2012-11-17",25243,1129,692,247577.7
"2012-11-18",29402,1348,827,312583.5
"2012-11-19",35553,1597,1018,371704.01
"2012-11-20",37653,1672,1051,396766.66
"2012-11-21",33948,1506,990,362894.17
"2012-11-22",26822,1200,782,302848.91
"2012-11-23",26984,1193,767,269893.27
"2012-11-24",24555,1060,662,229607.21
"2012-11-25",30395,1348,844,312796.76
"2012-11-26",30305,1344,814,298817.44
"2012-11-27",38149,1664,1067,424367.41
"2012-11-28",37816,1665,1048,428544.24
"2012-11-29",33445,1458,946,355459.8
"2012-11-30",31464,1356,897,320712.54
"2012-12-01",23644,1028,667,243625.64
"2012-12-02",29754,1328,830,349552.64
"2012-12-03",37190,1602,1048,407400.32
"2012-12-04",34711,1532,996,357407.98
"2012-12-05",36958,1565,1046,402306.67
"2012-12-06",33026,1451,904,324329.25
"2012-12-07",30049,1317,856,338113.18
"2012-12-08",24370,1070,692,262611.75
"2012-12-09",29830,1318,855,338266.43
"2012-12-10",33861,1470,903,339591.05
"2012-12-11",34025,1487,941,345740.41
"2012-12-12",36701,1618,1036,354181.37
"2012-12-13",29497,1296,869,317682.64
"2012-12-14",29372,1257,806,282265.16
"2012-12-15",23357,1052,632,221130.95
"2012-12-16",28732,1304,796,307673.99
"2012-12-17",36653,1665,1005,348924.59
"2012-12-18",33179,1435,917,314432.41
"2012-12-19",32414,1472,948,365202.67
"2012-12-20",33086,1423,946,351750.82
"2012-12-21",32470,1427,933,310624.94
"2012-12-22",24624,1091,705,249122.82
"2012-12-23",24836,1133,671,230237.77
"2012-12-24",20958,944,592,213059.45
"2012-12-25",21689,985,582,185766.28
"2012-12-26",37093,1688,1018,330051.81
"2012-12-27",40256,1850,1083,401242.31
"2012-12-28",37611,1674,1036,357330.2
"2012-12-29",29015,1308,806,262814.41
"2012-12-30",32322,1429,872,304722
"2012-12-31",25912,1153,717,278081.69
"2013-01-01",27044,1207,699,277421.06
"2013-01-02",39390,1689,1006,396608.02
"2013-01-03",39972,1706,1037,417621.79
"2013-01-04",37740,1648,978,380444.9
"2013-01-05",30362,1357,777,319940.52
"2013-01-06",35467,1562,904,414920.96
"2013-01-07",43689,1883,1094,422876.48
"2013-01-08",44155,2006,1135,472978.22
"2013-01-09",45592,1980,1182,494354.75
"2013-01-10",42882,1855,1130,448901.39
"2013-01-11",38586,1673,1028,431809.61
"2013-01-12",30983,1368,796,329245.67
"2013-01-13",39723,1735,1015,410750.91
"2013-01-14",48811,2095,1217,503737.08
"2013-01-15",46948,2078,1217,487463.77
"2013-01-16",43997,1943,1195,464753.89
"2013-01-17",41843,1826,1112,434224.95
"2013-01-18",39980,1748,1096,428100.79
"2013-01-19",31973,1386,848,321847.32
"2013-01-20",37836,1636,938,423799.72
"2013-01-21",43885,1936,1174,506502.68
"2013-01-22",42134,1802,1117,486544.01
"2013-01-23",45642,1997,1205,462576.15
"2013-01-24",38163,1646,1011,405955.5
"2013-01-25",34828,1547,938,338463.29
"2013-01-26",30086,1332,817,323241.64
"2013-01-27",38105,1653,1007,442287.35
"2013-01-28",41209,1836,1115,442643.56
"2013-01-29",43898,1907,1149,487175.12
"2013-01-30",42155,1836,1143,492928.37
"2013-01-31",37275,1586,1116,456936.1
"2013-02-01",34352,1503,1053,407240.77
"2013-02-02",26687,1171,847,334698.32
"2013-02-03",30703,1329,911,438187.39
"2013-02-04",40910,1735,1236,475147.46
"2013-02-05",39310,1638,1227,503450.21
"2013-02-06",40713,1722,1230,481815.95
"2013-02-07",44815,1970,1299,463626.56
"2013-02-08",42837,1907,1165,478247.32
"2013-02-09",35862,1590,958,370406.03
"2013-02-10",43435,1953,1172,449313.94
"2013-02-11",48203,2155,1313,534666.46
"2013-02-12",48866,2203,1300,524914.03
"2013-02-13",47337,2067,1308,489464.15
"2013-02-14",41285,1860,1126,402332.8
"2013-02-15",43286,1917,1181,422132.29
"2013-02-16",35858,1599,939,337436.81
"2013-02-17",39212,1783,1056,408852.83
"2013-02-18",47525,2091,1234,456686.77
"2013-02-19",46634,2051,1200,468250.62
"2013-02-20",45876,2059,1209,471932.62
"2013-02-21",45039,1995,1229,463495.21
"2013-02-22",41298,1871,1142,436087.58
"2013-02-23",35542,1604,977,394542.56
"2013-02-24",39520,1777,1052,448389.42
"2013-02-25",48148,2135,1287,500495.71
"2013-02-26",49263,2198,1311,505274.36
"2013-02-27",48678,2147,1327,511773.64
"2013-02-28",46669,2089,1291,518105.09
"2013-03-01",43280,1919,1238,469687.58
"2013-03-02",36962,1656,1017,376461.62
"2013-03-03",46679,2063,1268,481779.7
"2013-03-04",53386,2407,1468,552755.88
"2013-03-05",54277,2371,1458,535994.01
"2013-03-06",54354,2422,1449,588650.91
"2013-03-07",50657,2230,1415,516492.66
"2013-03-08",43885,1982,1265,477469.06
"2013-03-09",38146,1717,1053,430518.89
"2013-03-10",42848,1958,1180,432138.3
"2013-03-11",52398,2309,1428,562742.67
"2013-03-12",50164,2299,1341,532104.21
