類別：所有類別

週,expedia: (全球)
2012-06-17,92
2012-06-24,93
2012-07-01,94
2012-07-08,100
2012-07-15,99
2012-07-22,96
2012-07-29,94
2012-08-05,92
2012-08-12,91
2012-08-19,90
2012-08-26,85
2012-09-02,83
2012-09-09,80
2012-09-16,80
2012-09-23,77
2012-09-30,77
2012-10-07,75
2012-10-14,72
2012-10-21,72
2012-10-28,68
2012-11-04,68
2012-11-11,68
2012-11-18,63
2012-11-25,67
2012-12-02,64
2012-12-09,61
2012-12-16,60
2012-12-23,73
2012-12-30,89
2013-01-06,95
2013-01-13,90
2013-01-20,87
2013-01-27,83
2013-02-03,83
2013-02-10,83
2013-02-17,82
2013-02-24,83
2013-03-03,85
2013-03-10,84
2013-03-17,85
2013-03-24,81
2013-03-31,82
2013-04-07,80
2013-04-14,77
2013-04-21,78
2013-04-28,80
2013-05-05,78
2013-05-12,79
2013-05-19,81
2013-05-26,79
2013-06-02,82
2013-06-09,83
2013-06-16,84
2013-06-23,85
2013-06-30,84
2013-07-07,89
2013-07-14,87
2013-07-21,88
2013-07-28,88
2013-08-04,87
2013-08-11,81
2013-08-18,79
2013-08-25,77
2013-09-01,73
2013-09-08,73
2013-09-15,71
2013-09-22,69
2013-09-29,68
2013-10-06,68
2013-10-13,66
2013-10-20,66
2013-10-27,66
2013-11-03,68
2013-11-10,65
2013-11-17,64
2013-11-24,58
2013-12-01,61
2013-12-08,60
2013-12-15,58
2013-12-22,67
2013-12-29,86
2014-01-05,93
2014-01-12,89
2014-01-19,86
2014-01-26,82
2014-02-02,80
2014-02-09,82
2014-02-16,82
2014-02-23,83
2014-03-02,84
2014-03-09,80
2014-03-16,80
2014-03-23,79
2014-03-30,79
2014-04-06,79
2014-04-13,78
2014-04-20,77
2014-04-27,78
2014-05-04,76
2014-05-11,76
2014-05-18,80
2014-05-25,76
2014-06-01,82
2014-06-08,81
2014-06-15,83
2014-06-22,84
2014-06-29,85
2014-07-06,90
2014-07-13,91
2014-07-20,94
2014-07-27,90
2014-08-03,90
2014-08-10,86
2014-08-17,83
2014-08-24,78
2014-08-31,75
2014-09-07,75
2014-09-14,73
2014-09-21,71
2014-09-28,71
2014-10-05,71
2014-10-12,68
2014-10-19,65
2014-10-26,64
2014-11-02,68
2014-11-09,65
2014-11-16,65
2014-11-23,58
2014-11-30,62
2014-12-07,60
2014-12-14,60
2014-12-21,63
2014-12-28,79
2015-01-04,85
2015-01-11,86
2015-01-18,83
2015-01-25,81
2015-02-01,78
2015-02-08,83
2015-02-15,82
2015-02-22,83
2015-03-01,83
2015-03-08,85
2015-03-15,81
2015-03-22,80
2015-03-29,78
2015-04-05,78
2015-04-12,77
2015-04-19,78
2015-04-26,76
2015-05-03,76
2015-05-10,81
2015-05-17,81
2015-05-24,77
2015-05-31,84
2015-06-07,84
2015-06-14,83
2015-06-21,86
2015-06-28,85
2015-07-05,88
2015-07-12,90
2015-07-19,90
2015-07-26,89
2015-08-02,90
2015-08-09,86
2015-08-16,81
2015-08-23,77
2015-08-30,79
2015-09-06,75
2015-09-13,73
2015-09-20,72
2015-09-27,71
2015-10-04,73
2015-10-11,69
2015-10-18,66
2015-10-25,65
2015-11-01,70
2015-11-08,67
2015-11-15,61
2015-11-22,56
2015-11-29,61
2015-12-06,60
2015-12-13,60
2015-12-20,61
2015-12-27,76
2016-01-03,88
2016-01-10,85
2016-01-17,85
2016-01-24,81
2016-01-31,82
2016-02-07,81
2016-02-14,81
2016-02-21,81
2016-02-28,83
2016-03-06,84
2016-03-13,82
2016-03-20,76
2016-03-27,75
2016-04-03,76
2016-04-10,78
2016-04-17,76
2016-04-24,73
2016-05-01,75
2016-05-08,77
2016-05-15,78
2016-05-22,77
2016-05-29,77
2016-06-05,79
2016-06-12,79
2016-06-19,81
2016-06-26,83
2016-07-03,85
2016-07-10,88
2016-07-17,86
2016-07-24,85
2016-07-31,85
2016-08-07,81
2016-08-14,76
2016-08-21,76
2016-08-28,76
2016-09-04,72
2016-09-11,71
2016-09-18,69
2016-09-25,67
2016-10-02,69
2016-10-09,66
2016-10-16,65
2016-10-23,64
2016-10-30,63
2016-11-06,60
2016-11-13,64
2016-11-20,59
2016-11-27,62
2016-12-04,58
2016-12-11,57
2016-12-18,55
2016-12-25,68
2017-01-01,82
2017-01-08,83
2017-01-15,77
2017-01-22,75
2017-01-29,75
2017-02-05,75
2017-02-12,75
2017-02-19,77
2017-02-26,81
2017-03-05,82
2017-03-12,79
2017-03-19,78
2017-03-26,79
2017-04-02,77
2017-04-09,75
2017-04-16,72
2017-04-23,72
2017-04-30,74
2017-05-07,73
2017-05-14,73
2017-05-21,74
2017-05-28,74
2017-06-04,76
