"srch_id","date_time","site_id","visitor_location_country_id","visitor_hist_starrating","visitor_hist_adr_usd","prop_country_id","prop_id","prop_starrating","prop_review_score","prop_brand_bool","prop_location_score1","prop_location_score2","prop_log_historical_price","position","price_usd","promotion_flag","srch_destination_id","srch_length_of_stay","srch_booking_window","srch_adults_count","srch_children_count","srch_room_count","srch_saturday_night_bool","srch_query_affinity_score","orig_destination_distance","random_bool","comp1_rate","comp1_inv","comp1_rate_percent_diff","comp2_rate","comp2_inv","comp2_rate_percent_diff","comp3_rate","comp3_inv","comp3_rate_percent_diff","comp4_rate","comp4_inv","comp4_rate_percent_diff","comp5_rate","comp5_inv","comp5_rate_percent_diff","comp6_rate","comp6_inv","comp6_rate_percent_diff","comp7_rate","comp7_inv","comp7_rate_percent_diff","comp8_rate","comp8_inv","comp8_rate_percent_diff","click_bool","gross_bookings_usd","booking_bool"
"75","2013-05-04 19:20:52","5","219",NA,NA,"219","128481",4,4.5,"0",2.94,0.0434,5.31,"22",155,"0","17311",1,30,3,1,1,"0",NA,318.52,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",165,"1"
"129","2013-01-16 06:56:51","5","35",NA,NA,"35","113858",3,3.5,"0",3.85,0.1993,4.26,"8",44,"1","21207",2,1,1,0,1,"1",NA,NA,"0",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"188","2012-12-11 07:15:29","15","55",NA,NA,"55","83447",3,4,"1",0.69,0.0137,4.81,"24",85.4,"0","15784",3,13,1,0,1,"0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,-1,0,50,NA,NA,NA,"0",NA,"0"
"290","2012-11-01 14:06:25","5","219",NA,NA,"219","88184",3,4.5,"1",2.3,NA,4.8,"33",95,"0","1742",1,2,2,0,1,"1",NA,105.41,"1",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,-1,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"359","2013-06-11 21:49:52","5","219",NA,NA,"219","132388",3,4.5,"1",2.48,NA,0,"30",152,"0","21777",1,26,2,0,1,"0",NA,172.76,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"427","2013-02-06 19:51:54","5","219",NA,NA,"219","29878",2,4,"1",1.79,0.1193,4.22,"14",55,"1","6475",1,10,2,0,1,"1",NA,101.72,"1",NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"497","2013-03-13 13:09:38","18","129",NA,NA,"50","94402",4,3.5,"1",0.69,0.003,4.98,"20",98.51,"0","1464",1,39,1,0,1,"0",NA,6373.26,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"560","2013-06-26 09:38:51","5","219",NA,NA,"219","33074",2,4,"1",1.95,0.0082,0,"31",72,"0","4687",1,1,1,0,1,"1",NA,70.23,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"625","2013-05-29 06:02:18","5","219",NA,NA,"15","89708",3,3.5,"0",4.68,0.0288,4.94,"14",55,"0","8660",1,2,2,0,1,"1",NA,6926.75,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,8,1,0,13,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"698","2013-03-01 10:32:23","5","219",NA,NA,"219","71207",3,3.5,"0",0.69,0.002,4.78,"20",69,"0","18185",2,245,4,0,1,"1",NA,215.94,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
